Snowflake Headers,Snowflake Field Names ,Dictionary Headers
TYP_CC_MAIN_STR_RETAIL,Type of Credit Card - Main Street Retail,TYP_CC_MAIN_STR_RETAIL
TYP_CC_MASTERCARD,Type of Credit Card - Mastercard,TYP_CC_MASTERCARD
TYP_CC_MEMBERSHIP_WAREHOUSE,Type of Credit Card - Membership Warehouse,TYP_CC_MEMBERSHIP_WAREHOUSE
TYP_CC_MISC,Type of Credit Card - Miscellaneous,TYP_CC_MISC
TYP_CC_OIL_GAS_CARD,Type of Credit Card - Oil + Gas Card,TYP_CC_OIL_GAS_CARD
TYP_CC_SPECIALTY_APPRL,Type of Credit Card - Specialty Apparel,TYP_CC_SPECIALTY_APPRL
TYP_CC_SPORTING_GOODS,Type of Credit Card - Sporting Goods,TYP_CC_SPORTING_GOODS
TYP_CC_STD_RETAIL,Type of Credit Card - Standard Retail,TYP_CC_STD_RETAIL
TYP_CC_STD_SPECIALTY_CARD,Type of Credit Card - Standard Specialty Card,TYP_CC_STD_SPECIALTY_CARD
TYP_CC_TRAVEL_ENTERTAINMENT,Type of Credit Card - Travel + Entertainment,TYP_CC_TRAVEL_ENTERTAINMENT
TYP_CC_TV_MO,Type of Credit Card - TV Mail Order,TYP_CC_TV_MO
TYP_CC_UPSCALE_RETAIL,Type of Credit Card - Upscale Retail,TYP_CC_UPSCALE_RETAIL
TYP_CC_UPSCALE_SPEC_RETAIL,Type of Credit Card - Upscale Spec Retail,TYP_CC_UPSCALE_SPEC_RETAIL
TYP_CC_VISA,Type of Credit Card - Visa,TYP_CC_VISA
TOTALIST_MATCHCODE,Totalist Matchcode,TOTALIST_MATCHCODE
DMA,DMA(R),DMA
HOUSE_NUMBER,House Number,HOUSE_NUMBER
FRACTION,Fraction,FRACTION
STREET_PREFIX_DIRECTION,Street Prefix Direction,STREET_PREFIX_DIRECTION
STREET_NAME,Street Name,STREET_NAME
STREET_SUFFIX,Street Suffix,STREET_SUFFIX
STREET_POST_DIRECTION,Street Post Direction,STREET_POST_DIRECTION
ROUTE_DESIGNATOR_AND_NUMBER,Route Designator and Number,ROUTE_DESIGNATOR_AND_NUMBER
BOX_DESIGNATOR_AND_NUMBER,Box Designator and Number,BOX_DESIGNATOR_AND_NUMBER
SECONDARY_UNIT_DESIGNATION,Secondary Unit Designation,SECONDARY_UNIT_DESIGNATION
POLITICAL_PARTY_INDIVIDUAL_1,Political Party (Individual) #1,POLITICAL_PARTY_INDIVIDUAL_1
POLITICAL_PARTY_INDIVIDUAL_2,Political Party (Individual) #2,POLITICAL_PARTY_INDIVIDUAL_2
POLITICAL_PARTY_INDIVIDUAL_3,Political Party (Individual) #3,POLITICAL_PARTY_INDIVIDUAL_3
POLITICAL_PARTY_INDIVIDUAL_4,Political Party (Individual) #4,POLITICAL_PARTY_INDIVIDUAL_4
POLITICAL_PARTY_INDIVIDUAL_5,Political Party (Individual) #5,POLITICAL_PARTY_INDIVIDUAL_5
BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_1,Birthday - Day Indicator - No Restricted Source (Enhanced) #1,BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_1
BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_2,Birthday - Day Indicator - No Restricted Source (Enhanced) #2,BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_2
BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_3,Birthday - Day Indicator - No Restricted Source (Enhanced) #3,BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_3
BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_4,Birthday - Day Indicator - No Restricted Source (Enhanced) #4,BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_4
BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_5,Birthday - Day Indicator - No Restricted Source (Enhanced) #5,BIRTHDAY_DAY_INDICATOR_NO_RESTRICTED_SOURCE_ENHANCED_5
PERSON_KEY_1,Person Key #1,PERSON_KEY_1
PERSON_KEY_2,Person Key #2,PERSON_KEY_2
PERSON_KEY_3,Person Key #3,PERSON_KEY_3
PERSON_KEY_4,Person Key #4,PERSON_KEY_4
PERSON_KEY_5,Person Key #5,PERSON_KEY_5
AGILITY_OCCUPANCY_SCORE_1,Agility Occupancy Score #1,AGILITY_OCCUPANCY_SCORE_1
AGILITY_OCCUPANCY_SCORE_2,Agility Occupancy Score #2,AGILITY_OCCUPANCY_SCORE_2
AGILITY_OCCUPANCY_SCORE_3,Agility Occupancy Score #3,AGILITY_OCCUPANCY_SCORE_3
AGILITY_OCCUPANCY_SCORE_4,Agility Occupancy Score #4,AGILITY_OCCUPANCY_SCORE_4
AGILITY_OCCUPANCY_SCORE_5,Agility Occupancy Score #5,AGILITY_OCCUPANCY_SCORE_5
ETHNIC_GROUP_CODE_HOUSEHOLD,Ethnic Group Code - Household,ETHNIC_GROUP_CODE_HOUSEHOLD
ETHNIC_HOUSEHOLD,Ethnic - Household,ETHNIC_HOUSEHOLD
BIRTHDATE_OF_1ST_CHILD_ENHANCED,Birthdate of 1st Child (Enhanced),BIRTHDATE_OF_1ST_CHILD_ENHANCED
BIRTHDATE_OF_1ST_CHILD_INDICATOR_ENHANCED,Birthdate of 1st Child Indicator (Enhanced),BIRTHDATE_OF_1ST_CHILD_INDICATOR_ENHANCED
GENDER_OF_CHILD_1_ENHANCED,Gender of Child 1 (Enhanced),GENDER_OF_CHILD_1_ENHANCED
BIRTHDATE_OF_2ND_CHILD_ENHANCED,Birthdate of 2nd Child (Enhanced),BIRTHDATE_OF_2ND_CHILD_ENHANCED
BIRTHDATE_OF_2ND_CHILD_INDICATOR_ENHANCED,Birthdate of 2nd Child Indicator (Enhanced),BIRTHDATE_OF_2ND_CHILD_INDICATOR_ENHANCED
GENDER_OF_CHILD_2_ENHANCED,Gender of Child 2 (Enhanced),GENDER_OF_CHILD_2_ENHANCED
BIRTHDATE_OF_3RD_CHILD_ENHANCED,Birthdate of 3rd Child (Enhanced),BIRTHDATE_OF_3RD_CHILD_ENHANCED
BIRTHDATE_OF_3RD_CHILD_INDICATOR_ENHANCED,Birthdate of 3rd Child Indicator (Enhanced),BIRTHDATE_OF_3RD_CHILD_INDICATOR_ENHANCED
GENDER_OF_CHILD_3_ENHANCED,Gender of Child 3 (Enhanced),GENDER_OF_CHILD_3_ENHANCED
BIRTHDATE_OF_4TH_CHILD_ENHANCED,Birthdate of 4th Child (Enhanced),BIRTHDATE_OF_4TH_CHILD_ENHANCED
BIRTHDATE_OF_4TH_CHILD_INDICATOR_ENHANCED,Birthdate of 4th Child Indicator (Enhanced),BIRTHDATE_OF_4TH_CHILD_INDICATOR_ENHANCED
GENDER_OF_CHILD_4_ENHANCED,Gender of Child 4 (Enhanced),GENDER_OF_CHILD_4_ENHANCED
LIFECYCLE_BABY_BOOMERS,LifeCycle - Baby Boomers,LIFECYCLE_BABY_BOOMERS
LIFECYCLE_DINKS_DUAL_INCOME_NO_KIDS,LifeCycle - DINKS - Dual Income No Kids,LIFECYCLE_DINKS_DUAL_INCOME_NO_KIDS
LIFECYCLE_FAMILY_TIES,LifeCycle - Family Ties,LIFECYCLE_FAMILY_TIES
LIFECYCLE_GENERATION_X,LifeCycle - Generation X,LIFECYCLE_GENERATION_X
LIFECYCLE_MILLENNIALS,LifeCycle - Millennials,LIFECYCLE_MILLENNIALS
LIFECYCLE_MILLENNIALS_BUTFIRSTLETMETAKEASELFIE,LifeCycle - Millennials: #butfirstletmetakeaselfie,LIFECYCLE_MILLENNIALS_BUTFIRSTLETMETAKEASELFIE
LIFECYCLE_MILLENNIALS_GETTINHITCHED,LifeCycle - Millennials: #gettinhitched,LIFECYCLE_MILLENNIALS_GETTINHITCHED
LIFECYCLE_MILLENNIALS_IMANADULT,LifeCycle - Millennials: #imanadult,LIFECYCLE_MILLENNIALS_IMANADULT
LIFECYCLE_MILLENNIALS_LIVESWITHMOM,LifeCycle - Millennials: #liveswithmom,LIFECYCLE_MILLENNIALS_LIVESWITHMOM
LIFECYCLE_MILLENNIALS_MOMLIFE,LifeCycle - Millennials: #momlife,LIFECYCLE_MILLENNIALS_MOMLIFE
LIFECYCLE_MILLENNIALS_PUTTINGDOWNROOTS,LifeCycle - Millennials: #puttingdownroots,LIFECYCLE_MILLENNIALS_PUTTINGDOWNROOTS
TARGET_VALUESCORE_20_ALL_MARKETERS,Target ValueScore(TM) 2.0: All Marketers,TARGET_VALUESCORE_2_ALL_MARKETERS
TARGET_VALUESCORE_20_AUTO_FINANCE_MARKETERS,Target ValueScore(TM) 2.0: Auto Finance Marketers,TARGET_VALUESCORE_2_AUTO_FINANCE_MARKETERS
TARGET_VALUESCORE_20_BANK_CARD_MARKETERS,Target ValueScore(TM) 2.0: Bank Card Marketers,TARGET_VALUESCORE_2_BANK_CARD_MARKETERS
TARGET_VALUESCORE_20_RETAIL_CARD_MARKETERS,Target ValueScore(TM) 2.0: Retail Card Marketers,TARGET_VALUESCORE_2_RETAIL_CARD_MARKETERS
ROOFTOP_LATITUDELONGITUDE_INDICATOR,Rooftop Latitude/Longitude Indicator,ROOFTOP_LATITUDELONGITUDE_INDICATOR
ROOFTOP_LATITUDE,Rooftop Latitude,ROOFTOP_LATITUDE
ROOFTOP_LONGITUDE,Rooftop Longitude,ROOFTOP_LONGITUDE
MT_ACA_HEALTH_INSURANCE_PURCHASERS,MT - ACA Health Insurance Purchasers,MT_ACA_HEALTH_INSURANCE_PURCHASERS
MT_AIRLINE_UPGRADERS,MT - Airline Upgraders,MT_AIRLINE_UPGRADERS
MT_AMAZON_PRIME_CUSTOMERS,MT - Amazon Prime Customers,MT_AMAZON_PRIME_CUSTOMERS
MT_ANIMAL_WELFARE_DONORS,MT - Animal Welfare Donors,MT_ANIMAL_WELFARE_DONORS
MT_ANNUITY_CUSTOMERS,MT - Annuity Customers,MT_ANNUITY_CUSTOMERS
MT_ATT_CELL_PHONE_CUSTOMER,MT - AT&T Cell Phone Customer,MT_ATT_CELL_PHONE_CUSTOMER
MT_AUTO_INSURANCE_AGENT_SOLD,MT - Auto Insurance - Agent Sold,MT_AUTO_INSURANCE_AGENT_SOLD
MT_AUTO_INSURANCE_CALL_CENTER_SOLD,MT - Auto Insurance - Call Center Sold,MT_AUTO_INSURANCE_CALL_CENTER_SOLD
MT_AUTO_INSURANCE_SELF_SERVE_ONLINE_BUYERS,MT - Auto Insurance - Self Serve Online Buyers,MT_AUTO_INSURANCE_SELF_SERVE_ONLINE_BUYERS
MT_AUTO_INSURANCE_PREM_LOYALTY_GIFTS_TELEMATICS_CUSTOMERS,MT - Auto Insurance Prem Loyalty Gifts Telematics Customers,MT_AUTO_INSURANCE_PREM_LOYALTY_GIFTS_TELEMATICS_CUSTOMERS
MT_AUTO_INSURANCE_PREMIUM_DISCOUNT_VIA_TELEMATICS_CUSTOMER,MT - Auto Insurance Premium Discount via Telematics Customer,MT_AUTO_INSURANCE_PREMIUM_DISCOUNT_VIA_TELEMATICS_CUSTOMER
MT_AUTO_WARRANTY_PURCHASERS,Blank Space,
MT_AVID_BOOK_READERS,MT - Avid Book Readers,
MT_AVID_MAGAZINE_READERS,MT - Avid Magazine Readers,MT_AVID_MAGAZINE_READERS
MT_BAR_AND_LOUNGE_FOOD_ENTHUSIASTS,MT - Bar and Lounge Food Enthusiasts,MT_BAR_AND_LOUNGE_FOOD_ENTHUSIASTS
MT_BARGAIN_HOTEL_SHOPPERS,MT - Bargain Hotel Shoppers,MT_BARGAIN_HOTEL_SHOPPERS
MT_BARGAIN_SHOPPERS,MT - Bargain Shoppers,MT_BARGAIN_SHOPPERS
MT_BASEBALL_ENTHUSIASTS,MT - Baseball Enthusiasts,MT_BASEBALL_ENTHUSIASTS
MT_BASKETBALL_ENTHUSIASTS,MT - Basketball Enthusiasts,MT_BASKETBALL_ENTHUSIASTS
MT_BIBLE_DEVOTIONAL_READERS,MT - Bible Devotional Readers,MT_BIBLE_DEVOTIONAL_READERS
MT_BOAT_OWNERS,MT - Boat Owners,MT_BOAT_OWNERS
MT_BOOK_READERS,MT - Book Readers,MT_BOOK_READERS
MT_BRAND_DRIVEN_HOME_CLEANERS,MT - Brand Driven Home Cleaners,MT_BRAND_DRIVEN_HOME_CLEANERS
MT_BRAND_LOYALISTS,MT - Brand Loyalists,MT_BRAND_LOYALISTS
MT_BRAND_MOTIVATED_LAUNDRY_USERS,MT - Brand Motivated Laundry Users,MT_BRAND_MOTIVATED_LAUNDRY_USERS
MT_BRAND_MOTIVATED_PERSONAL_CARE_PRODUCT_USERS,MT - Brand Motivated Personal Care Product Users,MT_BRAND_MOTIVATED_PERSONAL_CARE_PRODUCT_USERS
MT_BRANDED_RETAIL_CREDIT_CARD_USERS,MT - Branded Retail Credit Card Users,MT_BRANDED_RETAIL_CREDIT_CARD_USERS
MT_BUDGET_MEAL_PLANNERS,MT - Budget Meal Planners,MT_BUDGET_MEAL_PLANNERS
MT_BURIAL_INSURANCE_PURCHASER,MT - Burial Insurance Purchaser,MT_BURIAL_INSURANCE_PURCHASER
MT_BUSINESS_TRAVELER,MT - Business Traveler,MT_BUSINESS_TRAVELER
MT_CABLE_BUNDLE_CABLE_INTERNET_HOME_PHONE,MT - Cable Bundle (cable internet home phone),MT_CABLE_BUNDLE_CABLE_INTERNET_HOME_PHONE
MT_CABLE_TV_PREMIUM_SUBSCRIBERS,MT - Cable TV Premium Subscribers,MT_CABLE_TV_PREMIUM_SUBSCRIBERS
MT_CANCER_DONORS,MT - Cancer Donors,MT_CANCER_DONORS
MT_CARRY_OUT_ENTHUSIASTS,MT - Carry Out Enthusiasts,MT_CARRY_OUT_ENTHUSIASTS
MT_CASINO_GAMER,MT - Casino Gamer,MT_CASINO_GAMER
MT_CASUAL_DINING_ENTHUSIASTS,MT - Casual Dining Enthusiasts,MT_CASUAL_DINING_ENTHUSIASTS
MT_CATERING_DELIVERY_CUSTOMERS,MT - Catering - Delivery Customers,MT_CATERING_DELIVERY_CUSTOMERS
MT_CATERING_PICK_UP_CUSTOMERS,MT - Catering - Pick Up Customers,MT_CATERING_PICK_UP_CUSTOMERS
MT_CERTIFICATES_OF_DEPOSIT_CUSTOMERS,MT - Certificates of Deposit Customers,MT_CERTIFICATES_OF_DEPOSIT_CUSTOMERS
MT_CHILDRENS_CAUSES_DONORS,MT - Children's Causes Donors,MT_CHILDRENS_CAUSES_DONORS
MT_CHRISTIAN_OR_GOSPEL_MUSIC_ENTHUSIASTS,MT - Christian or Gospel Music Enthusiasts,MT_CHRISTIAN_OR_GOSPEL_MUSIC_ENTHUSIASTS
MT_CHRISTMAS_ORNAMENTSCOLLECTIBLES_BUYER,MT - Christmas Ornaments/Collectibles Buyer,MT_CHRISTMAS_ORNAMENTSCOLLECTIBLES_BUYER
MT_CIGARPIPE_ENTHUSIASTS,MT - Cigar/Pipe Enthusiasts,MT_CIGARPIPE_ENTHUSIASTS
MT_CLICK_TO_CART_HOME_DELIVERY_CUSTOMERS,MT - Click to Cart - Home Delivery Customers,MT_CLICK_TO_CART_PICK_UP_CUSTOMERS
MT_CLICK_TO_CART_PICK_UP_CUSTOMERS,MT - Click to Cart - Pick Up Customers,
MT_COFFEE_ENTHUSIASTS,MT - Coffee Enthusiasts,MT_COFFEE_ENTHUSIASTS
MT_COINS_COLLECTOR,MT - Coins Collector,MT_COINS_COLLECTOR
MT_CONSERVATIVE_CAUSES_DONORS,MT - Conservative Causes Donors,MT_CONSERVATIVE_CAUSES_DONORS
MT_CONSERVATIVE_INVESTMENT_STYLE_CONSUMERS,MT - Conservative Investment Style Consumers,MT_CONSERVATIVE_INVESTMENT_STYLE_CONSUMERS
MT_CONVENIENCE_COOK,MT - Convenience Cook,MT_CONVENIENCE_COOK
MT_CONVENIENCE_DRIVEN_PERSONAL_CARE_PRODUCT_USERS,MT - Convenience Driven Personal Care Product Users,MT_CONVENIENCE_DRIVEN_PERSONAL_CARE_PRODUCT_USERS
MT_CONVENIENCE_HOME_CLEANERS,MT - Convenience Home Cleaners,MT_CONVENIENCE_HOME_CLEANERS
MT_CORD_CUTTERS,MT - Cord Cutters,MT_CORD_CUTTERS
MT_COUNTRY_MUSIC_ENTHUSIASTS,MT - Country Music Enthusiasts,MT_COUNTRY_MUSIC_ENTHUSIASTS
MT_CREDIT_CARD_BALANCE_TRANSFER_USERS,MT - Credit Card Balance Transfer Users,MT_CREDIT_CARD_BALANCE_TRANSFER_USERS
MT_CULTURAL_ARTS__EVENTS_ATTENDEES,MT - Cultural Arts / Events Attendees,MT_CULTURAL_ARTS__EVENTS_ATTENDEES
MT_DEBIT_CARD_REWARDS_USERS,MT - Debit Card Rewards Users,MT_DEBIT_CARD_REWARDS_USERS
MT_DEMOCRATIC_VOTER,MT - Democratic Voter,MT_DEMOCRATIC_VOTER
MT_DIET_CONSCIOUS_HOUSEHOLDS,MT - Diet Conscious Households,MT_DIET_CONSCIOUS_HOUSEHOLDS
MT_DIRECT_MEDIA_PREFERENCE_CUSTOMERS,MT - Direct Media Preference Customers,MT_DIRECT_MEDIA_PREFERENCE_CUSTOMERS
MT_DO_IT_YOURSELFER,MT - Do it Yourselfer,MT_DO_IT_YOURSELFER
MT_EMPLOYER_PROVIDED_HEALTH_INSURANCE_POLICY_HOLDERS,MT - Employer Provided Health Insurance Policy Holders,MT_EMPLOYER_PROVIDED_HEALTH_INSURANCE_POLICY_HOLDERS
MT_ENTERTAINMENT_READERS,MT - Entertainment Readers,MT_ENTERTAINMENT_READERS
MT_ENVIRONMENTAL_DONORS,MT - Environmental Donors,MT_ENVIRONMENTAL_DONORS
MT_ENVIRONMENTALLY_FOCUSED_HOUSEHOLD,MT - Environmentally Focused Household,MT_ENVIRONMENTALLY_FOCUSED_HOUSEHOLD
MT_EVERYDAY_LOW_PRICE_SHOPPERS,MT - Everyday Low Price Shoppers,MT_EVERYDAY_LOW_PRICE_SHOPPERS
MT_EXPERIMENTAL_COOKS,MT - Experimental Cooks,MT_EXPERIMENTAL_COOKS
MT_EXTREME_FITNESS_ENTHUSIASTS,MT - Extreme Fitness Enthusiasts,MT_EXTREME_FITNESS_ENTHUSIASTS
MT_FINANCIALHEALTH_NEWSLETTER_SUBSCRIBERS,MT - Financial/Health Newsletter Subscribers,MT_FINANCIALHEALTH_NEWSLETTER_SUBSCRIBERS
MT_FINE_DINING_ENTHUSIASTS,MT - Fine Dining Enthusiasts,MT_FINE_DINING_ENTHUSIASTS
MT_FOOTBALL_ENTHUSIASTS,MT - Football Enthusiasts,MT_FOOTBALL_ENTHUSIASTS
MT_FREQUENT_MOBILE_PURCHASERS,MT - Frequent Mobile Purchasers,MT_FREQUENT_MOBILE_PURCHASERS
MT_FREQUENT_ONLINE_MOVIE_VIEWERS,MT - Frequent Online Movie Viewers,MT_FREQUENT_ONLINE_MOVIE_VIEWERS
MT_FREQUENT_ONLINE_MUSIC_PURCHASERS,MT - Frequent Online Music Purchasers,MT_FREQUENT_ONLINE_MUSIC_PURCHASERS
MT_FREQUENT_TAKEOUT_FOOD_HH,MT - Frequent Takeout Food HH,MT_FREQUENT_TAKEOUT_FOOD_HH
MT_FRESH_FOOD_SEEKERS,MT - Fresh Food Seekers,MT_FRESH_FOOD_SEEKERS
MT_FUTURE_INVESTORS,MT - Future Investors,MT_FUTURE_INVESTORS
MT_GAMERS,MT - Gamers,MT_GAMERS
MT_GREEN_PRODUCT_PURCHASERS,MT - Green Product Purchasers,MT_GREEN_PRODUCT_PURCHASERS
MT_GROCERY_LOYALTY_CARD_CUSTOMERS,MT - Grocery Loyalty Card Customers,MT_GROCERY_LOYALTY_CARD_CUSTOMERS
MT_HEAVY_CLEANER,MT - Heavy Cleaner,MT_HEAVY_CLEANER
MT_HEAVY_COUPON_USERS,MT - Heavy Coupon Users,MT_HEAVY_COUPON_USERS
MT_HEAVY_FIBER_FOCUSED_FOOD_BUYERS,MT - Heavy Fiber Focused Food Buyers,MT_HEAVY_FIBER_FOCUSED_FOOD_BUYERS
MT_HEAVY_GLUTEN_FREE_FOOD_BUYERS,MT - Heavy Gluten Free Food Buyers,MT_HEAVY_GLUTEN_FREE_FOOD_BUYERS
MT_HEAVY_LOW_FAT_FOOD_BUYERS,MT - Heavy Low Fat Food Buyers,MT_HEAVY_LOW_FAT_FOOD_BUYERS
MT_HIGH_DOLLAR_OTHER_CAUSES_NON_RELIGIOUS_DONOR,MT - High Dollar Other Causes (non-Religious) Donor,MT_HIGH_DOLLAR_OTHER_CAUSES_NON_RELIGIOUS_DONOR
MT_HIGH_DOLLAR_RELIGIOUS_CAUSES_DONOR,MT - High Dollar Religious Causes Donor,MT_HIGH_DOLLAR_RELIGIOUS_CAUSES_DONOR
MT_HIGH_END_SHOPPERS,MT - High-end Shoppers,MT_HIGH_END_SHOPPERS
MT_HOME_CLEANING_NEW_PRODUCT_SEEKERS,MT - Home Cleaning New Product Seekers,MT_HOME_CLEANING_NEW_PRODUCT_SEEKERS
MT_HOME_WARRANTY_PURCHASERS,MT - Home Warranty Purchasers,MT_HOME_WARRANTY_PURCHASERS
MT_HOTEL_LOYALTY_PROGRAM_MEMBERS,MT - Hotel Loyalty Program Members,MT_HOTEL_LOYALTY_PROGRAM_MEMBERS
MT_IDENTITY_THEFT_PROTECTION_PURCHASERS,MT - Identity Theft Protection Purchasers,MT_IDENTITY_THEFT_PROTECTION_PURCHASERS
MT_IMPULSE_PURCHASERS,MT - Impulse Purchasers,MT_IMPULSE_PURCHASERS
MT_INCENTIVE_SEEKERS,Blank Space,
MT_INDEPENDENT_VOTERS,MT - Independent Voters,MT_INDEPENDENT_VOTERS
MT_INSURANCE_SWITCHER,MT - Insurance Switcher,MT_INSURANCE_SWITCHER
MT_INTERNATIONAL_TRAVELER,MT - International Traveler,MT_INTERNATIONAL_TRAVELER
MT_INTERNATIONAL_WIRELESS_OR_LANDLINE_CUSTOMERS,MT - International: Wireless or Landline Customers,MT_INTERNATIONAL_WIRELESS_OR_LANDLINE_CUSTOMERS
MT_INTERNET_RESEARCH_PREFERENCE_CUSTOMERS,MT - Internet Research Preference Customers,MT_INTERNET_RESEARCH_PREFERENCE_CUSTOMERS
MT_JOB_SWITCHERS,MT - Job Switchers,MT_JOB_SWITCHERS
MT_KROGER_ENTHUSIASTS,MT - Kroger Enthusiasts,MT_KROGER_ENTHUSIASTS
MT_LABEL_READERS,MT - Label Readers,MT_LABEL_READERS
MT_LATIN_MUSIC_ENTHUSIASTS,MT - Latin Music Enthusiasts,MT_LATIN_MUSIC_ENTHUSIASTS
MT_LAUNDRY_NEW_PRODUCT_SEEKERS,MT - Laundry New Product Seekers,MT_LAUNDRY_NEW_PRODUCT_SEEKERS
MT_LIBERAL_CAUSES_DONORS,MT - Liberal Causes Donors,MT_LIBERAL_CAUSES_DONORS
MT_LIKELY_CRUISER,MT - Likely Cruiser,MT_LIKELY_CRUISER
MT_LIKELY_MORTGAGE_REFINANCERS,MT - Likely Mortgage Refinancers,MT_LIKELY_MORTGAGE_REFINANCERS
MT_LIKELY_PLANNED_GIVERS,MT - Likely Planned Givers,MT_LIKELY_PLANNED_GIVERS
MT_LIKELY_TO_SUFFER_FROM_INSOMNIA,MT - Likely to Suffer from Insomnia,MT_LIKELY_TO_SUFFER_FROM_INSOMNIA
MT_LIKELY_TO_USE_AN_INVESTMENT_BROKER,MT - Likely to Use an Investment Broker,MT_LIKELY_TO_USE_AN_INVESTMENT_BROKER
MT_LIKELY_VOTERS,MT - Likely Voters,MT_LIKELY_VOTERS
MT_LIVE_MUSIC_CONCERT_ATTENDEES,MT - Live Music Concert Attendees,MT_LIVE_MUSIC_CONCERT_ATTENDEES
MT_LONG_TERM_CARE,MT - Long Term Care,MT_LONG_TERM_CARE
MT_MAGAZINE_READERS,MT - Magazine Readers,MT_MAGAZINE_READERS
MT_MASTER_COOK,MT - Master Cook,MT_MASTER_COOK
MT_MEAL_PLANNERS,MT - Meal Planners,MT_MEAL_PLANNERS
MT_MEDICAID_POTENTIAL_QUALIFIED_HOUSEHOLD,MT - Medicaid Potential Qualified Household,MT_MEDICAID_POTENTIAL_QUALIFIED_HOUSEHOLD
MT_MEDICARE_ADVANTAGE_PLAN_PURCHASERS,MT - Medicare Advantage Plan Purchasers,MT_MEDICARE_ADVANTAGE_PLAN_PURCHASERS
MT_MEDICARE_DUAL_ELIGIBLE_HOUSEHOLD,MT - Medicare Dual Eligible Household,MT_MEDICARE_DUAL_ELIGIBLE_HOUSEHOLD
MT_MEDICARE_PLAN_D_PRESCRIPTION_DRUG_HEALTH_PURCHASER,MT - Medicare Plan D Prescription Drug (Health) Purchaser,MT_MEDICARE_PLAN_D_PRESCRIPTION_DRUG_HEALTH_PURCHASER
MT_MEDICARE_SUPPLEMENT_INSURANCE_PURCHASERS,MT - Medicare Supplement Insurance Purchasers,MT_MEDICARE_SUPPLEMENT_INSURANCE_PURCHASERS
MT_MENS_BIG_AND_TALL_APPAREL_CUSTOMERS,MT - Mens Big and Tall Apparel Customers,MT_MENS_BIG_AND_TALL_APPAREL_CUSTOMERS
MT_MIDMARKET_TERM_LIFE_INSURANCE_PURCHASERS,MT - Midmarket Term Life Insurance Purchasers,MT_MIDMARKET_TERM_LIFE_INSURANCE_PURCHASERS
MT_MIDMARKET_WHOLE_LIFE_INSURANCE_PURCHASERS,MT - Midmarket Whole Life Insurance Purchasers,MT_MIDMARKET_WHOLE_LIFE_INSURANCE_PURCHASERS
MT_MOBILE_BANKING_USERS,MT - Mobile Banking Users,MT_MOBILE_BANKING_USERS
MT_MOBILE_BROWSERS,MT - Mobile Browsers,MT_MOBILE_BROWSERS
MT_MOBILE_SHOPPING_LIST_USERS,MT - Mobile Shopping List Users,
MT_MONITORED_HOME_SECURITY_SYSTEM_OWNERS,MT - Monitored Home Security System Owners,MT_MONITORED_HOME_SECURITY_SYSTEM_OWNERS
MT_MULTI_POLICY_INSURANCE_OWNERS,MT - Multi-Policy Insurance Owners,MT_MULTI_POLICY_INSURANCE_OWNERS
MT_MULTI_RETAILER_SHOPPERS,MT - Multi-Retailer Shoppers,MT_MULTI_RETAILER_SHOPPERS
MT_NASCAR_ENTHUSIASTS,MT - NASCAR Enthusiasts,MT_NASCAR_ENTHUSIASTS
MT_NATURAL__GREEN_PRODUCT_HOME_CLEANERS,MT - Natural / Green Product Home Cleaners,MT_NATURAL__GREEN_PRODUCT_HOME_CLEANERS
MT_NATURAL_PRODUCT_PERSONAL_CARE_PRODUCT_USERS,MT - Natural Product Personal Care Product Users,MT_NATURAL_PRODUCT_PERSONAL_CARE_PRODUCT_USERS
MT_NEW_LUXURY_VEHICLE_PURCHASERS,MT - New Luxury Vehicle Purchasers,MT_NEW_LUXURY_VEHICLE_PURCHASERS
MT_NEW_NON_LUXURY_VEHICLE_PURCHASERS,MT - New non-Luxury Vehicle Purchasers,MT_NEW_NON_LUXURY_VEHICLE_PURCHASERS
MT_NEW_ROOF_CUSTOMERS,MT - New Roof Customers,MT_NEW_ROOF_CUSTOMERS
MT_ON_DEMAND_MOVIE_SUBSCRIBERS,MT - On Demand Movie Subscribers,MT_ON_DEMAND_MOVIE_SUBSCRIBERS
MT_ONE_STOP_SHOPPERS,MT - One-Stop Shoppers,MT_ONE_STOP_SHOPPERS
MT_ONLINE_DELIVERY_RESTAURANT_CUSTOMERS,MT - Online - Delivery Restaurant Customers,MT_ONLINE_DELIVERY_RESTAURANT_CUSTOMERS
MT_ONLINE_PICK_UP_RESTAURANT_CUSTOMERS,MT - Online - Pick Up Restaurant Customers,MT_ONLINE_PICK_UP_RESTAURANT_CUSTOMERS
